"Response ID","Date submitted","Last page","Start language","Seed","What is your gender?","Which languages do you speak fluently?","Are you a native speaker of Mandarin Chinese?","How old are you?","jatosStudyResultId "
"62","1980-01-01 00:00:00","1","en","59293472","Female","Mandarin","Yes",,"479"
"63",,"-1","en","1974291354",,,,,"492"
"64",,"-1","en","1467917878",,,,,"471"
"65","1980-01-01 00:00:00","1","en","829665540","Female","Armenian and English","No",,"474"
"66",,"-1","en","1351052793",,,,,"467"
"67","1980-01-01 00:00:00","1","en","654436320","Female","French","Yes",,"473"
"68","1980-01-01 00:00:00","1","en","1048299207","Female","French","No",,"474"
"69",,"-1","en","707133341",,,,,"475"
"70",,"-1","en","1905293350",,,,,"464"
"71",,"-1","en","971552431",,,,,"465"
"72","1980-01-01 00:00:00","1","en","1979573881","Female","French","Yes",,"468"
"73",,,"en","1388851331",,,,,
"74",,,"en","2045654492",,,,,
"75",,,"en","1093547171",,,,,
"76",,,"en","2050462677",,,,,
"77","1980-01-01 00:00:00","1","en","649428214","Female","arabic, french, vitnamienne","No","21","835239"
"78",,"-1","en","2122944861",,,,,"835274"
"79",,"-1","en","155811417",,,,,"835274"
"80","1980-01-01 00:00:00","1","en","472160064","Male","armenian, english","No","19","835292"
"81",,"-1","en","1091643181",,,,,"835275"
"82","1980-01-01 00:00:00","1","en","89869962","Male","","No","20","835310"
"83",,"-1","en","1144236302",,,,,"835564"
"84",,"-1","en","1629944551",,,,,"835564"
"85","1980-01-01 00:00:00","1","en","555714639","Male","French, English","No","24","837147"
"86","1980-01-01 00:00:00","1","en","211085082","Female","French","No","20","837155"
"87",,"-1","en","295958927",,,,,"837166"
"88","1980-01-01 00:00:00","1","en","1065017596","Male","Chinese, English","Yes","25","837190"
"89",,,"en","1577892461",,,,,
"90",,"-1","en","179856162",,,,,"837241"
"91",,"-1","en","1093842394",,,,,"837290"
"92","1980-01-01 00:00:00","1","en","146815070","Female","French","No","19","837294"
"93","1980-01-01 00:00:00","1","en","888266977","Female","français","No","22","837419"
"94",,"-1","en","743545268",,,,,"837447"
"95","1980-01-01 00:00:00","1","en","751072529","Male","French","Yes","22","837872"
"96","1980-01-01 00:00:00","1","en","2130646828","Female","Francais, Arabic, English","No","24","837900"
"97","1980-01-01 00:00:00","1","en","451481079","Male","Allemagnen, French, English","No","20","838208"
"98","1980-01-01 00:00:00","1","en","1533764541","Female","French","No","23","838210"
